CA i vs t,
s,ÊA
0,-6.25
0.100000001,-16.25615692
0.200000003,-13.07754517
0.300000012,-11.07863903
0.400000006,-9.695329666
0.5,-8.668694496
0.600000024,-7.832317352
0.699999988,-7.170944214
0.800000012,-6.626868248
0.900000036,-6.16338253
1,-5.774760246
1.100000024,-5.473871231
1.200000048,-5.172510147
1.300000072,-4.913110733
1.399999976,-4.694242477
1.5,-4.485387802
1.600000024,-4.31658268
1.700000048,-4.151597023
1.800000072,-4.025235176
1.899999976,-3.923668861
2,-3.7996912
2.100000143,-3.691449165
2.200000048,-3.588452339
2.299999952,-3.486409187
2.400000095,-3.404870033
2.5,-3.335251808
2.600000143,-3.263726234
2.700000048,-3.208413124
2.799999952,-3.14022541
2.900000095,-3.08013916
3,-3.053913116
3.100000143,-2.980003357
3.200000048,-2.923736572
3.299999952,-2.86365509
3.400000095,-2.841243744
3.5,-2.784500122
3.600000143,-2.75302887
3.700000048,-2.730617523
3.799999952,-2.67578125
3.900000095,-2.657184601
4,-2.620944977
4.099999905,-2.591381073
4.200000286,-2.559432983
4.300000191,-2.527484894
4.400000095,-2.500305176
4.5,-2.463588715
4.599999905,-2.450714111
4.700000286,-2.435455322
4.800000191,-2.40732193
4.900000095,-2.390155792
5,-2.354869843
5.099999905,-2.332458496
5.200000286,-2.334365845
5.300000191,-2.310523987
5.400000095,-2.299079895
5.5,-2.273807526
5.599999905,-2.266654968
5.700000286,-2.243766785
5.800000191,-2.221355438
5.900000095,-2.218017578
6,-2.193698883
6.099999905,-2.183208466
6.200000286,-2.181301117
6.300000191,-2.151260376
6.400000095,-2.132663727
6.5,-2.125511169
6.599999905,-2.118835449
6.700000286,-2.107868195
6.800000191,-2.091178894
6.900000095,-2.084503174
7,-2.063522339
7.099999905,-2.053031921
7.200000286,-2.04826355
7.300000191,-2.035388947
7.400000095,-2.036819458
7.5,-2.002487183
7.599999905,-2.003917694
7.700000286,-2.001056671
7.800000191,-1.997718811
7.900000095,-1.978645325
8,-1.963386536
8.100000381,-1.956710815
8.199999809,-1.940021515
8.300000191,-1.952419281
8.400000572,-1.925239563
8.5,-1.919517517
8.600000381,-1.921424866
8.699999809,-1.909384727
8.800000191,-1.897583008
8.900000572,-1.899013519
9,-1.881847382
9.100000381,-1.889476776
9.199999809,-1.861815453
9.300000191,-1.87230587
9.400000572,-1.852755547
9.5,-1.838927269
9.600000381,-1.824145317
9.699999809,-1.826529503
9.800000191,-1.816515923
9.900000572,-1.809840202
10,-1.815085411
10.10000038,-1.803164482
10.19999981,-1.809363365
10.30000019,-1.793558121
10.40000057,-1.774627686
10.5,-1.77725029
10.60000038,-1.761276245
10.69999981,-1.767189026
10.80000019,-1.762849808
10.90000057,-1.745397568
11,-1.747209549
11.10000038,-1.728803635
11.19999981,-1.711446762
11.30000019,-1.732618332
11.40000057,-1.718265533
11.5,-1.716930389
11.60000038,-1.706296921
